alias,baseCcy,category,ctMult,ctType,ctVal,ctValCcy,expTime,instFamily,instId,instType,lever,listTime,lotSz,maxIcebergSz,maxLmtSz,maxMktSz,maxStopSz,maxTriggerSz,maxTwapSz,minSz,optType,quoteCcy,settleCcy,state,stk,tickSz,uly
,BNT,1,,,,,,,BNT-USDT,SPOT,5,1548133413000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.1,,USDT,,live,,0.0001,
,BORING,1,,,,,,,BORING-USDT,SPOT,,1637813826000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,10,,USDT,,live,,0.00001,
,BORA,1,,,,,,,BORA-USDT,SPOT,,1648624377000,0.0001,99999999999999,99999999999999,1000000,1000000,99999999999999,99999999999999,1,,USDT,,live,,0.001,
,BRWL,1,,,,,,,BRWL-USDT,SPOT,,1648624503000,0.0001,99999999999999,99999999999999,1000000,1000000,99999999999999,99999999999999,10,,USDT,,live,,0.00001,
,BSV,1,,,,,,,BSV-USDT,SPOT,10,1548133413000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.01,,USDT,,live,,0.01,
,BTG,1,,,,,,,BTG-USDT,SPOT,,1548133413000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.01,,USDT,,live,,0.01,
,BTM,1,,,,,,,BTM-USDT,SPOT,5,1548133413000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,10,,USDT,,live,,0.00001,
,BTT,1,,,,,,,BTT-USDT,SPOT,,1643262023000,1,9999999999999999,9999999999999999,1000000,1000000,9999999999999999,9999999999999999,1000000,,USDT,,live,,0.000000001,
,BZZ,1,,,,,,,BZZ-USDT,SPOT,5,1624288513000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,1,,USDT,,live,,0.0001,
,CEEK,1,,,,,,,CEEK-USDT,SPOT,,1667199159000,0.0001,99999999999999,99999999999999,1000000,1000000,99999999999999,99999999999999,10,,USDT,,live,,0.00001,
,CELO,1,,,,,,,CELO-USDT,SPOT,5,1594939857000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,1,,USDT,,live,,0.001,
,CEL,1,,,,,,,CEL-USDT,SPOT,5,1618290083000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.1,,USDT,,live,,0.0001,
,CELR,1,,,,,,,CELR-USDT,SPOT,5,1617008400000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,10,,USDT,,live,,0.00001,
,CELT,1,,,,,,,CELT-USDT,SPOT,,1632905830000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,10,,USDT,,live,,0.000001,
