alias,baseCcy,category,ctMult,ctType,ctVal,ctValCcy,expTime,instFamily,instId,instType,lever,listTime,lotSz,maxIcebergSz,maxLmtSz,maxMktSz,maxStopSz,maxTriggerSz,maxTwapSz,minSz,optType,quoteCcy,settleCcy,state,stk,tickSz,uly
,KNC,1,,,,,,,KNC-USDT,MARGIN,5,1548133413000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,1,,USDT,,live,,0.0001,
,KSM,1,,,,,,,KSM-USDT,MARGIN,5,1599001235000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.01,,USDT,,live,,0.01,
,LAT,1,,,,,,,LAT-USDT,MARGIN,5,1620791102000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,10,,USDT,,live,,0.00001,
,LINK,1,,,,,,,LINK-USDT,MARGIN,5,1548133413000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.1,,USDT,,live,,0.001,
,LON,1,,,,,,,LON-USDT,MARGIN,5,1608658200000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.1,,USDT,,live,,0.001,
,LOOKS,1,,,,,,,LOOKS-USDT,MARGIN,5,1642063292000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,1,,USDT,,live,,0.0001,
,LPT,1,,,,,,,LPT-USDT,MARGIN,5,1617354075000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.1,,USDT,,live,,0.01,
,LRC,1,,,,,,,LRC-USDT,MARGIN,5,1548133413000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,1,,USDT,,live,,0.0001,
,LUNC,1,,,,,,,LUNC-USDT,MARGIN,5,1653636192000,1,9999999999999999,9999999999999999,1000000,1000000,9999999999999999,9999999999999999,10000,,USDT,,live,,0.00000001,
,LUNA,1,,,,,,,LUNA-USDT,MARGIN,5,1653732267000,0.0001,99999999999999,99999999999999,1000000,1000000,99999999999999,99999999999999,1,,USDT,,live,,0.0001,
,MANA,1,,,,,,,MANA-USDT,MARGIN,5,1548133413000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,1,,USDT,,live,,0.0001,
,MATIC,1,,,,,,,MATIC-USDT,MARGIN,5,1617008400000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,1,,USDT,,live,,0.0001,
,MINA,1,,,,,,,MINA-USDT,MARGIN,5,1622508605000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,1,,USDT,,live,,0.001,
,MKR,1,,,,,,,MKR-USDT,MARGIN,5,1548133413000,0.00000001,9999999999,9999999999,1000000,1000000,9999999999,9999999999,0.001,,USDT,,live,,0.1,
,NEAR,1,,,,,,,NEAR-USDT,MARGIN,5,1606946400000,0.00000001,9999999999,9999999999,1000000,1000000,9999999999,9999999999,0.5,,USDT,,live,,0.001,
,NEO,1,,,,,,,NEO-USDT,MARGIN,10,1548133413000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.01,,USDT,,live,,0.001,
,NFT,1,,,,,,,NFT-USDT,MARGIN,5,1636612984000,1,9999999999999999,9999999999999999,1000000,1000000,9999999999999999,9999999999999999,1000000,,USDT,,live,,0.0000000001,
,OMG,1,,,,,,,OMG-USDT,MARGIN,5,1548133413000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.1,,USDT,,live,,0.001,
